Packet Number: 20, Sample RTT: 0.1342
Packet Number: 40, Sample RTT: 0.0436
Packet Number: 60, Sample RTT: 0.0386
Packet Number: 80, Sample RTT: 0.0308
Packet Number: 100, Sample RTT: 0.0343
Packet Number: 120, Sample RTT: 0.0319
Packet Number: 140, Sample RTT: 0.0284
Packet Number: 160, Sample RTT: 0.0284
Packet Number: 180, Sample RTT: 0.0272
Packet Number: 200, Sample RTT: 0.0262
Packet Number: 220, Sample RTT: 0.026
Packet Number: 240, Sample RTT: 0.0308
Packet Number: 260, Sample RTT: 0.0291
Packet Number: 280, Sample RTT: 0.0279
Packet Number: 300, Sample RTT: 0.0293
Packet Number: 320, Sample RTT: 0.0281
Packet Number: 340, Sample RTT: 0.0262
Packet Number: 360, Sample RTT: 0.0277
Packet Number: 380, Sample RTT: 0.0253
Packet Number: 400, Sample RTT: 0.0274
Packet Number: 420, Sample RTT: 0.0324
Packet Number: 440, Sample RTT: 0.0298
Packet Number: 460, Sample RTT: 0.0293
Packet Number: 480, Sample RTT: 0.0284
Packet Number: 500, Sample RTT: 0.0265
Packet Number: 520, Sample RTT: 0.0286
Packet Number: 540, Sample RTT: 0.0253
Packet Number: 560, Sample RTT: 0.0257
Packet Number: 580, Sample RTT: 0.0246
Packet Number: 600, Sample RTT: 0.0248
Packet Number: 620, Sample RTT: 0.0412
Packet Number: 640, Sample RTT: 0.0293
Packet Number: 660, Sample RTT: 0.0255
Packet Number: 680, Sample RTT: 0.0243
Packet Number: 700, Sample RTT: 0.0257
Packet Number: 720, Sample RTT: 0.0315
Packet Number: 740, Sample RTT: 0.0286
Packet Number: 760, Sample RTT: 0.0346
Packet Number: 780, Sample RTT: 0.0298
Packet Number: 800, Sample RTT: 0.0284
Packet Number: 820, Sample RTT: 0.0279
Packet Number: 840, Sample RTT: 0.0279
Packet Number: 860, Sample RTT: 0.0257
Packet Number: 880, Sample RTT: 0.0288
Packet Number: 900, Sample RTT: 0.0284
Packet Number: 920, Sample RTT: 0.0253
Packet Number: 940, Sample RTT: 0.0269
Packet Number: 960, Sample RTT: 0.0272
Packet Number: 980, Sample RTT: 0.0212
Packet Number: 1000, Sample RTT: 0.0226
Packet Number: 1020, Sample RTT: 0.0217
Packet Number: 1040, Sample RTT: 0.0253
Packet Number: 1060, Sample RTT: 0.0238
Packet Number: 1080, Sample RTT: 0.0298
Packet Number: 1100, Sample RTT: 0.0277
Packet Number: 1120, Sample RTT: 0.0286
Packet Number: 1140, Sample RTT: 0.0443
Packet Number: 1160, Sample RTT: 0.0353
Packet Number: 1180, Sample RTT: 0.025
Packet Number: 1200, Sample RTT: 0.0203
Packet Number: 1220, Sample RTT: 0.0196
Packet Number: 1240, Sample RTT: 0.0188
Packet Number: 1260, Sample RTT: 0.0272
Packet Number: 1280, Sample RTT: 0.0236
Packet Number: 1300, Sample RTT: 0.0272
Packet Number: 1320, Sample RTT: 0.0269
Packet Number: 1340, Sample RTT: 0.0253
Packet Number: 1360, Sample RTT: 0.025
Packet Number: 1380, Sample RTT: 0.0248
Packet Number: 1400, Sample RTT: 0.0327
Packet Number: 1420, Sample RTT: 0.0279
Packet Number: 1440, Sample RTT: 0.0279
Packet Number: 1460, Sample RTT: 0.0284
Packet Number: 1480, Sample RTT: 0.03
Packet Number: 1500, Sample RTT: 0.0291
Packet Number: 1520, Sample RTT: 0.0279
Packet Number: 1540, Sample RTT: 0.0286
Packet Number: 1560, Sample RTT: 0.0284
Packet Number: 1580, Sample RTT: 0.026
Packet Number: 1600, Sample RTT: 0.0272
Packet Number: 1620, Sample RTT: 0.0257
Packet Number: 1640, Sample RTT: 0.0265
Packet Number: 1660, Sample RTT: 0.0262
Packet Number: 1680, Sample RTT: 0.0262
Packet Number: 1700, Sample RTT: 0.0265
Packet Number: 1720, Sample RTT: 0.0255
Packet Number: 1740, Sample RTT: 0.0272
Packet Number: 1760, Sample RTT: 0.026
Packet Number: 1780, Sample RTT: 0.0272
Packet Number: 1800, Sample RTT: 0.0217
Packet Number: 1820, Sample RTT: 0.0234
Packet Number: 1840, Sample RTT: 0.0527
Packet Number: 1860, Sample RTT: 0.031
Packet Number: 1880, Sample RTT: 0.0358
Packet Number: 1900, Sample RTT: 0.0243
Packet Number: 1920, Sample RTT: 0.0191
Packet Number: 1940, Sample RTT: 0.0184
Packet Number: 1960, Sample RTT: 0.0188
Packet Number: 1980, Sample RTT: 0.0186
Packet Number: 2000, Sample RTT: 0.0186
Packet Number: 2020, Sample RTT: 0.0186
Packet Number: 2040, Sample RTT: 0.0186
Packet Number: 2060, Sample RTT: 0.0184
Packet Number: 2080, Sample RTT: 0.0184
Packet Number: 2100, Sample RTT: 0.0181
Packet Number: 2120, Sample RTT: 0.0186
Packet Number: 2121, Sample RTT: 1000.864
