Packet Number: 20, Timeout: 1.6493
Packet Number: 40, Timeout: 1.5711
Packet Number: 60, Timeout: 1.4757
Packet Number: 80, Timeout: 1.3741
Packet Number: 100, Timeout: 1.2628
Packet Number: 120, Timeout: 1.1532
Packet Number: 140, Timeout: 1.0488
Packet Number: 160, Timeout: 0.9484
Packet Number: 180, Timeout: 0.8547
Packet Number: 200, Timeout: 0.7681
Packet Number: 220, Timeout: 0.6882
Packet Number: 240, Timeout: 0.6115
Packet Number: 260, Timeout: 0.5443
Packet Number: 280, Timeout: 0.485
Packet Number: 300, Timeout: 0.4307
Packet Number: 320, Timeout: 0.3835
Packet Number: 340, Timeout: 0.3428
Packet Number: 360, Timeout: 0.3051
Packet Number: 380, Timeout: 0.2735
Packet Number: 400, Timeout: 0.2434
Packet Number: 420, Timeout: 0.2131
Packet Number: 440, Timeout: 0.1896
Packet Number: 460, Timeout: 0.1695
Packet Number: 480, Timeout: 0.1526
Packet Number: 500, Timeout: 0.1391
Packet Number: 520, Timeout: 0.1251
Packet Number: 540, Timeout: 0.1154
Packet Number: 560, Timeout: 0.1059
Packet Number: 580, Timeout: 0.098
Packet Number: 600, Timeout: 0.0904
Packet Number: 620, Timeout: 0.0834
Packet Number: 640, Timeout: 0.0756
Packet Number: 660, Timeout: 0.0719
Packet Number: 680, Timeout: 0.0689
Packet Number: 700, Timeout: 0.0645
Packet Number: 720, Timeout: 0.0564
Packet Number: 740, Timeout: 0.0522
Packet Number: 760, Timeout: 0.0505
Packet Number: 780, Timeout: 0.0469
Packet Number: 800, Timeout: 0.0451
Packet Number: 820, Timeout: 0.0438
Packet Number: 840, Timeout: 0.0424
Packet Number: 860, Timeout: 0.0427
Packet Number: 880, Timeout: 0.0401
Packet Number: 900, Timeout: 0.0383
Packet Number: 920, Timeout: 0.0391
Packet Number: 940, Timeout: 0.038
Packet Number: 960, Timeout: 0.0367
Packet Number: 980, Timeout: 0.0401
Packet Number: 1000, Timeout: 0.0407
Packet Number: 1020, Timeout: 0.0411
Packet Number: 1040, Timeout: 0.0381
Packet Number: 1060, Timeout: 0.0369
Packet Number: 1080, Timeout: 0.0381
Packet Number: 1100, Timeout: 0.0365
Packet Number: 1120, Timeout: 0.0361
Packet Number: 1140, Timeout: 0.0513
Packet Number: 1160, Timeout: 0.052
Packet Number: 1180, Timeout: 0.05
Packet Number: 1200, Timeout: 0.0515
Packet Number: 1220, Timeout: 0.052
Packet Number: 1240, Timeout: 0.0519
Packet Number: 1260, Timeout: 0.0466
Packet Number: 1280, Timeout: 0.0434
Packet Number: 1300, Timeout: 0.0404
Packet Number: 1320, Timeout: 0.0377
Packet Number: 1340, Timeout: 0.0354
Packet Number: 1360, Timeout: 0.0338
Packet Number: 1380, Timeout: 0.0326
Packet Number: 1400, Timeout: 0.0379
Packet Number: 1420, Timeout: 0.0363
Packet Number: 1440, Timeout: 0.0351
Packet Number: 1460, Timeout: 0.0345
Packet Number: 1480, Timeout: 0.0356
Packet Number: 1500, Timeout: 0.0352
Packet Number: 1520, Timeout: 0.0335
Packet Number: 1540, Timeout: 0.033
Packet Number: 1560, Timeout: 0.0323
Packet Number: 1580, Timeout: 0.0326
Packet Number: 1600, Timeout: 0.0317
Packet Number: 1620, Timeout: 0.0321
Packet Number: 1640, Timeout: 0.0315
Packet Number: 1660, Timeout: 0.0313
Packet Number: 1680, Timeout: 0.0309
Packet Number: 1700, Timeout: 0.0303
Packet Number: 1720, Timeout: 0.0305
Packet Number: 1740, Timeout: 0.03
Packet Number: 1760, Timeout: 0.0298
Packet Number: 1780, Timeout: 0.0295
Packet Number: 1800, Timeout: 0.0327
Packet Number: 1820, Timeout: 0.0331
Packet Number: 1840, Timeout: 0.0582
Packet Number: 1860, Timeout: 0.0528
Packet Number: 1880, Timeout: 0.0533
Packet Number: 1900, Timeout: 0.052
Packet Number: 1920, Timeout: 0.0541
Packet Number: 1940, Timeout: 0.0549
Packet Number: 1960, Timeout: 0.054
Packet Number: 1980, Timeout: 0.0525
Packet Number: 2000, Timeout: 0.0504
Packet Number: 2020, Timeout: 0.0481
Packet Number: 2040, Timeout: 0.0456
Packet Number: 2060, Timeout: 0.0433
Packet Number: 2080, Timeout: 0.041
Packet Number: 2100, Timeout: 0.039
Packet Number: 2120, Timeout: 0.0367
Packet Number: 2121, Timeout: 1000.8757
